========================================================================
Single Profile Analysis: data/baseline/perf_1.data
  event: cpu-cycles:u  totalSamples: 31977
========================================================================

Top hotspots (self time):
  function                                         self(ms)      pct
  __memcpy                                          1221.82    3.65%
  luaV_execute                                       776.93    2.32%
  __ieee754_powf                                     757.25    2.26%
  tetrahedralize(tetgenbehavior*, tetgenio*, t       731.58    2.18%
  !!!0000!f56be09eb88f86833124f1df42e945!272cf       450.78    1.34%
  GC_end_stubborn_change                             430.43    1.28%
  Suitecore_string_refkUnitTestCategory::Testr       340.72    1.02%
  stb__MatchColorsBlock(unsigned char*, unsign       334.53    1.00%
  Testing::ParametricTestWithFixtureInstance<v       328.78    0.98%
  !!!0000!5076e583aa8765198a272b40557a10!272cf       303.06    0.90%
  RenderShadowMaps(ShadowMapJobHeader const*,        300.43    0.90%
  mbedtls::SuiteTLSModule_MbedtlskUnitTestCate       288.25    0.86%
  !!!0000!ffbd91fa84cc503d3291e671d19f43!272cf       279.67    0.83%
  Suitecore_string_refkUnitTestCategory::Testf       279.01    0.83%
  propagatemark                                      277.82    0.83%
  AOE.DOTS.UtilHeightMapBurst.AOE.DOTS.GetSamp       251.35    0.75%
  Testing::ParametricTestWithFixture<void (*)(       247.94    0.74%
  pthread_getspecific                                236.09    0.70%
  syscall                                            230.72    0.69%
  Suitecore_string_refkUnitTestCategory::Testf       230.63    0.69%
  SuiteTLSModulekUnitTestCategory::TestTLSCtx_       225.65    0.67%
  [linker]do_dlsym(void*, char const*, char co       225.65    0.67%
  SuiteAsyncUploadManagerkUnitTestCategory::Te       217.10    0.65%
  Suitecore_string_refkUnitTestCategory::Testr       208.02    0.62%
  luaD_call                                          206.51    0.62%
  libunity.so[+3242984]                              196.25    0.58%
  pthread_mutex_unlock                               193.16    0.58%
  void Transfer_ManagedObjectRef<StreamedBinar       192.40    0.57%
  Suitecore_string_refkUnitTestCategory::Testf       186.76    0.56%
  mbedtls::SuiteTLSModule_MbedtlskUnitTestCate       181.24    0.54%

Per-thread CPU breakdown:
  UnityMain                  16275.53 ms   41.34%
  Thread-102                 10757.34 ms   27.33%
  UnityGfxRenderS             5144.74 ms   13.07%
  NativeThread                1346.49 ms    3.42%
  UnityChoreograp             1108.36 ms    2.82%
  AAudio_1                     828.66 ms    2.10%
  Thread-135                   692.85 ms    1.76%
  Thread-145                   667.81 ms    1.70%
  Thread-134                   665.05 ms    1.69%
  Thread-137                   659.86 ms    1.68%
  Thread-10                    234.43 ms    0.60%
  com.tencent.aoeyz            216.88 ms    0.55%
  AudioTrack                   100.03 ms    0.25%
  Audio Mixer Thr               88.06 ms    0.22%
  GVoiceRender                  69.92 ms    0.18%
  Binder:18276_7                53.67 ms    0.14%
  Thread-183                    43.53 ms    0.11%
  Binder:18276_6                42.94 ms    0.11%
  Thread-229                    38.45 ms    0.10%
  GVoiceCapture                 38.41 ms    0.10%
  Binder:18276_2                37.45 ms    0.10%
  Thread-218                    34.31 ms    0.09%
  APM-Routine                   27.53 ms    0.07%
  Audio Stream Th               21.20 ms    0.05%
  gem-scheduled-0               17.16 ms    0.04%
  m.tencent.aoeyz               15.18 ms    0.04%
  HeapTaskDaemon                13.94 ms    0.04%
  Thread-225                    13.74 ms    0.04%
  Thread-380                    13.24 ms    0.03%
  Thread-217                    13.05 ms    0.03%
  GVoiceUtil                    13.04 ms    0.03%
  Thread-381                    12.77 ms    0.03%
  Thread-94                     12.74 ms    0.03%
  Background Job.               11.59 ms    0.03%
  GThreadManager                10.72 ms    0.03%
  AsyncWorker                    8.51 ms    0.02%
  CrashSight_Rout                7.32 ms    0.02%
  Profile Saver                  5.38 ms    0.01%
  Jit thread pool                4.24 ms    0.01%

Per-so CPU breakdown:
  libunity.so                                    15774.91 ms   40.07%
  libil2cpp.so                                    6836.88 ms   17.37%
  libGLESv2_adreno.so                             4917.93 ms   12.49%
  libc.so                                         3194.95 ms    8.12%
